Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
40,6,1e-06,SA,2030.940283258005,15,15,2.5565881729125977
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.708203077316284
40,6,1e-06,SA,2036.68257990837,15,15,2.358377695083618
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.0660288333892822
40,6,1e-06,SA,2009.7861355596592,14,14,2.162388324737549
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.012718677520752
40,6,1e-06,SA,2011.761593476187,16,16,3.034602165222168
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.417173147201538
40,6,1e-06,SA,2023.788420247623,15,15,2.1338906288146973
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.1033270359039307
40,6,1e-06,SA,2009.7861355596592,14,14,2.2148046493530273
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.7601451873779297
40,6,1e-06,SA,2009.7861355596592,14,14,3.229139566421509
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.1792726516723633
40,6,1e-06,SA,2009.7861355596592,14,14,2.200892686843872
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.0696651935577393
40,6,1e-06,SA,2043.476614335696,15,15,2.2026681900024414
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.8762600421905518
40,7,1e-06,Greedy,1856.4482030771521,13,13,0.0059506893157958984
40,7,1e-06,SA,1945.9357174731638,15,15,2.4672887325286865
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.1495437622070312
40,7,1e-06,SA,1917.1928887972892,16,16,2.2615692615509033
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0674169063568115
40,7,1e-06,SA,1910.3289006366745,15,15,2.632347583770752
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,3.301851511001587
40,7,1e-06,SA,1947.9837767381975,15,15,2.49998140335083
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0783534049987793
40,7,1e-06,SA,1910.196952578595,14,14,2.35833740234375
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0843868255615234
40,7,1e-06,SA,1947.9837767381975,15,15,3.4761812686920166
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0331034660339355
40,7,1e-06,SA,1902.9409161392784,14,14,2.151869058609009
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.131394386291504
40,7,1e-06,SA,1947.9837767381975,15,15,2.198061943054199
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.4172983169555664
40,7,1e-06,SA,1932.1615923900033,15,15,2.8958215713500977
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0496156215667725
40,7,1e-06,SA,1917.7932999260363,16,16,2.273895025253296
40,7,1e-06,Adaptive SA,1856.4482030771524,13,13,2.0319936275482178
40,8,1e-06,Greedy,1757.3725286604022,14,14,0.0035257339477539062
40,8,1e-06,SA,1781.4506585867564,15,15,2.3732025623321533
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,3.0194637775421143
40,8,1e-06,SA,1814.9317474207814,16,16,2.470125913619995
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.110938310623169
40,8,1e-06,SA,1757.3725286604022,14,14,2.1283440589904785
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,1.988581895828247
40,8,1e-06,SA,1796.22170344213,15,15,2.3594655990600586
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.865412712097168
40,8,1e-06,SA,1795.8746064966713,15,15,2.1627085208892822
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,1.9757273197174072
40,8,1e-06,SA,1796.3656383652553,16,16,2.1407201290130615
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.037240743637085
40,8,1e-06,SA,1795.8746064966713,15,15,2.4529104232788086
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.737750291824341
40,8,1e-06,SA,1794.3418574950842,15,15,2.2220354080200195
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.08693265914917
40,8,1e-06,SA,1813.9384611986784,16,16,2.4695420265197754
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.036550521850586
